title,artist,link
Untitled - Abstract Building (1972),Lindsay R S Gordon,___/record/99422?highlight=*:*
Study for Two Figure Composition (1949),Douglas Baxter,___/record/50576?highlight=*:*
Self-Portrait (1967),Gregor Smith,___/record/99398?highlight=*:*
Walking the Wall (Unknown),Victoria C F Bernie,___/record/21906?highlight=*:*
Summer Composition 1967 (1967),Alan T. Johnston,___/record/122689?highlight=*:*
Untitled (Unknown),Catherine Fairgrieve,___/record/21721?highlight=*:*
Untitled (1967),Sam Rae,___/record/21756?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20722?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,___/record/99970?highlight=*:*
Unknown (1947),Vivien Chapman,___/record/50475?highlight=*:*
Study of Three Skeletons (Circa 1961),William O. Little,___/record/99268?highlight=*:*
Bearded Goat (1920s),Emma Gillies,___/record/53755?highlight=*:*
Seated Male Nude,Graham Durward,___/record/22568?highlight=*:*
Reclining Female Nude on White Iron Bed,Unknown,___/record/122802?highlight=*:*
Step 4 (2013),Maria Hadam,___/record/21309?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,___/record/20831?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,___/record/50470?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53699?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99802?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,___/record/99431?highlight=*:*
Untitled (Unknown),Unknown,___/record/21856?highlight=*:*
Untitled (Unknown),Unknown,___/record/21556?highlight=*:*
Untitled (Unknown),Unknown,___/record/21984?highlight=*:*
Portrait in Green,Claudia Petretti,___/record/21438?highlight=*:*
Standing Male Nude with White Cloth over Shoulders (1950),Joan Connell,___/record/122863?highlight=*:*
Unknown (1950),Zygmunt Bukowski,___/record/53556?highlight=*:*
Untitled (Unknown),David C Duke,___/record/21986?highlight=*:*
Small black figure with long wavy hair,Unknown,___/record/20546?highlight=*:*
Unknown,Alexander Cree,___/record/50550?highlight=*:*
Untitled (1967),Arthur J Baglee,___/record/99380?highlight=*:*
Reclining Nude,Augustus John,___/record/122697?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,___/record/20532?highlight=*:*
Vojna Tajna (1983),Boris Bućan,___/record/22471?highlight=*:*
Unknown (1947-1948),William D Clyne,___/record/50635?highlight=*:*
Still Life with Bols Bottle,Leonard I. H. Gray,___/record/22673?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,___/record/50600?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,___/record/21520?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,___/record/21097?highlight=*:*
Untitled (2006),Greggory Bradford,___/record/99877?highlight=*:*
Teacup,Emma Gillies,___/record/53637?highlight=*:*
Bottles on Table,Unknown,___/record/122760?highlight=*:*
Untitled (Unknown),Unknown,___/record/99921?highlight=*:*
Untitled (1973),Ken McLennan,___/record/21844?highlight=*:*
Untitled (Unknown),Unknown,___/record/21816?highlight=*:*
Untitled,Dr Ainslie Yule,___/record/99532?highlight=*:*
Unknown (1950),John W. Corner,___/record/50519?highlight=*:*
Standing Male Nude,R Hardie,___/record/21038?highlight=*:*
The Little Posy (1957),Anne Redpath,___/record/19999?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,___/record/99427?highlight=*:*
Untitled,Jean M. A. Conacher,___/record/112353?highlight=*:*
Untitled (1986),Ian McKenzie Smith,___/record/21708?highlight=*:*
Untitled (Unknown),Unknown,___/record/21917?highlight=*:*
Angel with hand raised in blessing,Unknown,___/record/20545?highlight=*:*
Unknown,Unknown,___/record/50419?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,___/record/20785?highlight=*:*
Grandmother (1962),John Bellany,___/record/21532?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,___/record/21362?highlight=*:*
Unknown (1949),James N. Hardie,___/record/50531?highlight=*:*
Untitled (2014),Rachel Hill,___/record/47450?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,___/record/21021?highlight=*:*
Unknown (31 MAY 1960),Rhona L. Barclay,___/record/50618?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,___/record/21151?highlight=*:*
Cheeseplant No. 3,Susan Alexander,___/record/50402?highlight=*:*
Standing Female Nude (1959),Kenneth Dingwall,___/record/21329?highlight=*:*
Reclining Nude - Female (1953),Mary C. A. Edmond,___/record/22722?highlight=*:*
Railway Track (2002),Manson Heather,___/record/112495?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,___/record/20628?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,___/record/20944?highlight=*:*
Untitled (1968),Sheila Wardrope,___/record/22495?highlight=*:*
Abstract,V. Constant,___/record/111445?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,___/record/21423?highlight=*:*
Unknown (1982),Donald Urquhart,___/record/99516?highlight=*:*
Summer Fayre,Unknown,___/record/22658?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",___/record/21701?highlight=*:*
Untitled (Unknown),S J Dooley,___/record/99910?highlight=*:*
Untitled (1966),Gillian Mather,___/record/22002?highlight=*:*
Untitled (1986),R. Euman,___/record/21629?highlight=*:*
Untitled (1968),Anne Lynch,___/record/22492?highlight=*:*
Untitled (1972),Ian Gengt (possibly),___/record/21840?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,___/record/111039?highlight=*:*
Untitled (1983),Robert Rivers,___/record/99804?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,___/record/20638?highlight=*:*
Untitled (Unknown),Unknown,___/record/21994?highlight=*:*
Diddly Doodly (2006),John Brown,___/record/99953?highlight=*:*
Of Carole Danielson (1964),Helen Cargill,___/record/53585?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,___/record/99258?highlight=*:*
Sitting Nude Woman (1952),Mollie E N Langlands,___/record/122703?highlight=*:*
1st State (Unknown),Euan Gray,___/record/21954?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,___/record/99389?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,___/record/99444?highlight=*:*
Unknown,J Brown,___/record/53568?highlight=*:*
Flight Path No 1 (1977),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/19635?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,___/record/21407?highlight=*:*
Untitled (1964),Helen Cargill,___/record/22484?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,___/record/20749?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,___/record/20886?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20696?highlight=*:*
Untitled (1962),Robert S. Crozier,___/record/112312?highlight=*:*
Unknown (1960),Robin E. Bownass,___/record/50606?highlight=*:*
Untitled (Purple) (2015),Phoebe Mitchell,___/record/53778?highlight=*:*
Abstract Pale Landscape,Laura Drever,___/record/22594?highlight=*:*
Seated Male Nude (1959),George MacIntosh,___/record/20884?highlight=*:*
Untitled,Unknown,___/record/99861?highlight=*:*
Portrait of an Old Man (1952),Frances Walker,___/record/20848?highlight=*:*
Unknown (1993),Rolandos Rimkunas,___/record/99851?highlight=*:*
Profile of a Woman (1963),Leon Francesco Morrocco,___/record/122974?highlight=*:*
Portrait of a Man,Eric Fleming,___/record/21521?highlight=*:*
